,OR2Z1 (284383)
ACH-000800,-0.021075711373200003
ACH-000802,0.24628769590900002
ACH-000804,-0.13501770761600002
ACH-000805,0.21039361683899999
ACH-000809,-0.042980254751199994
ACH-000810,0.019922205365099997
ACH-000811,0.114921250526
ACH-000817,0.153073861971
ACH-000819,0.0201888316156
ACH-000820,-0.36260079786399996
ACH-000821,0.379275666272
ACH-000822,0.140538783468
ACH-000823,-0.185254266027
ACH-000824,0.0342259402586
ACH-000827,-0.0605872569532
ACH-000829,0.10445665059699999
ACH-000831,-0.134003184981
ACH-000832,-0.038195336932900004
ACH-000833,0.168013445728
ACH-000834,0.18152668505300001
ACH-000835,0.0700215006601
ACH-000836,-0.0463795435346
ACH-000837,0.024121123649
ACH-000838,0.120635644435
ACH-000839,0.0153819324101
ACH-000840,0.110443568265
ACH-000841,-0.252258123846
ACH-000843,-0.035640578822900004
ACH-000846,0.081860706284
ACH-000847,0.356985085741
ACH-000848,-0.012536713733899998
ACH-000849,-0.09300862549080001
ACH-000851,-0.0806333896833
ACH-000855,0.16009281669199998
ACH-000856,-0.0170032348178
ACH-000858,0.014210907714799999
ACH-000859,-0.316249726446
ACH-000861,-0.0639818444295
ACH-000862,0.152253940581
ACH-000865,-0.0207477918509
ACH-000866,0.121748565988
ACH-000867,0.0678160391079
ACH-000869,-0.054520130338399996
ACH-000872,0.122968470176
ACH-000873,0.028129875068900002
ACH-000876,0.0541240311907
ACH-000878,0.09172428874819999
ACH-000880,-0.09623633629650001
ACH-000881,0.00200404080651
ACH-000882,0.035823872355900004
ACH-000884,0.029235526467400002
ACH-000885,-0.0645669167156
ACH-000887,-0.043031278910400005
ACH-000888,0.18067302215599998
ACH-000889,0.122453650777
ACH-000890,-0.023063760507299996
ACH-000896,0.21774434717099997
ACH-000898,-0.12575211941199999
ACH-000900,0.11127396179099999
ACH-000901,-0.00647742238575
ACH-000905,0.0717892972771
ACH-000906,0.0031612240760700004
ACH-000907,0.0113411562975
ACH-000910,0.15676531033299998
ACH-000911,0.046522630790400005
ACH-000912,0.0553976195455
ACH-000913,0.07869858114860001
ACH-000915,0.214963011604
ACH-000916,0.23222201241
ACH-000917,0.0327655716147
ACH-000921,0.0717193266373
ACH-000924,-0.12050957837300001
ACH-000926,0.0839568085973
ACH-000928,-0.0690598060862
ACH-000929,0.06340896002390001
ACH-000932,-0.073414289109
ACH-000935,0.10030507764100001
ACH-000936,0.17601722962000002
ACH-000937,-0.030164972606799997
ACH-000938,-0.0101353651178
ACH-000939,0.074141819313
ACH-000941,-0.06348410062780001
ACH-000943,0.0205680841943
ACH-000946,-0.08075498741750001
ACH-000947,0.0376694026316
ACH-000948,-0.046370281587199996
ACH-000950,-0.0013138628275899998
ACH-000953,-0.08737852606619999
ACH-000957,-0.0365928684693
ACH-000958,0.152447649466
ACH-000960,0.017424155766900002
ACH-000963,-0.0238586472359
ACH-000968,0.0441908755585
ACH-000969,-0.042978289205800005
ACH-000973,0.118365596593
ACH-000974,0.06612432828319999
ACH-000975,-0.0554892919919
ACH-000976,0.04970044155669999
ACH-000978,-0.229382933323
ACH-000980,0.035532430458900005
ACH-000984,-0.021676184418200004
ACH-000986,0.11127241773499999
ACH-000988,0.055796951354
ACH-000993,-0.163369290013
ACH-000994,0.237547100169
ACH-000996,-0.155171288389
ACH-001001,0.0538170713974
ACH-001020,0.0404724833835
ACH-001028,0.0819081675881
ACH-001031,0.109509091854
ACH-001038,0.0731459158826
ACH-001048,0.147942855576
ACH-001050,-0.021847067350400002
ACH-001053,-0.0185489429171
ACH-001054,0.0733712553253
ACH-001061,-0.114734567852
ACH-001067,0.0328280160999
ACH-001075,-0.00235397435356
ACH-001096,0.08815344542539999
ACH-001128,-0.283911241576
ACH-001134,0.017360029878900004
ACH-001151,0.176833663397
ACH-001163,0.0464561721079
ACH-001164,0.05688730425750001
ACH-001173,-0.0034826651214899997
ACH-001183,-0.145551196208
ACH-001184,0.10491869175
ACH-001190,-0.138036177269
ACH-001192,-0.132045720701
ACH-001193,0.23397000513500002
ACH-001196,-0.0102350152953
ACH-001197,-0.10073425639799999
ACH-001205,0.0918809205123
ACH-001211,0.0037279272201599994
ACH-001212,-0.0199349366328
ACH-001228,0.166813258369
ACH-001232,0.050673839090099995
ACH-001239,0.136971677763
ACH-001274,0.20853652483600002
ACH-001275,-0.123998697857
ACH-001277,0.06539565450040001
ACH-001278,-0.0952063242529
ACH-001280,0.090629434936
ACH-001283,0.253932809335
ACH-001289,-0.09290876551239999
ACH-001295,0.110068151836
ACH-001300,0.028078563462400005
