,TP53TG5 (27296)
ACH-000921,-0.0171847070577
ACH-000924,0.0208167973219
ACH-000926,0.17747923582000003
ACH-000928,0.014437966933899999
ACH-000929,-0.131394154289
ACH-000932,0.0132553473453
ACH-000935,0.0857751781297
ACH-000936,0.184637548899
ACH-000937,0.029175179175700002
ACH-000938,-0.0385563792667
ACH-000939,0.0146373226566
ACH-000941,-0.0659429977909
ACH-000943,0.0626835726285
ACH-000946,0.07145662507230001
ACH-000947,0.22795624753199997
ACH-000948,0.10475568796
ACH-000950,-0.014625235297399999
ACH-000953,0.0333071137521
ACH-000957,0.173116303959
ACH-000958,0.19065954929099999
ACH-000960,-0.00484072298877
ACH-000963,-0.17465068463
ACH-000968,0.339275610942
ACH-000969,0.127185493049
ACH-000973,0.12336551025900001
ACH-000974,0.12295139016699999
ACH-000975,0.19757382585799999
ACH-000976,0.24875983566799997
ACH-000978,0.299590798561
ACH-000980,0.08387551762489999
ACH-000984,0.24191096870700002
ACH-000986,0.119073763094
ACH-000988,-0.0508535013768
ACH-000993,0.217903371001
ACH-000994,-0.06553479565840001
ACH-000996,0.217384605181
ACH-001001,0.21153749170299999
ACH-001020,-0.182461130625
ACH-001028,-0.051773845129000004
ACH-001031,0.0179341163468
ACH-001038,0.0608988699441
ACH-001048,0.0638496815032
ACH-001050,-0.0263631736015
ACH-001053,0.10911464797499999
ACH-001054,0.192933257959
ACH-001061,0.0870065950056
ACH-001067,-0.0619179843617
ACH-001075,0.045442547689999994
ACH-001096,0.146613791124
ACH-001128,-0.0360719554851
ACH-001134,-0.102582074482
ACH-001151,0.082019145022
ACH-001163,-0.08225845841519999
ACH-001164,-0.0924634418533
ACH-001173,0.118943835557
ACH-001183,-0.111841982686
ACH-001184,0.39061461733499997
ACH-001190,0.231051166043
ACH-001192,0.149688645849
ACH-001193,0.244599816906
ACH-001196,-0.0979989249239
ACH-001197,-0.0718078642731
ACH-001205,-0.26876526327
ACH-001211,-0.00859157220438
ACH-001212,0.5079815020790001
ACH-001228,0.173664877742
ACH-001232,0.154694320734
ACH-001239,0.076974430697
ACH-001274,0.0367192722154
ACH-001275,-0.0245732591661
ACH-001277,0.113906983668
ACH-001278,0.00166233407997
ACH-001280,-0.124732001734
ACH-001283,0.143247566689
ACH-001289,0.041214836834699994
ACH-001295,-0.09110032491460002
ACH-001300,0.177116149482
ACH-001301,0.0598091835303
ACH-001302,0.276432553747
ACH-001303,0.324828355133
ACH-001306,0.19329790058899998
ACH-001318,0.15141730486
ACH-001322,-0.028833974275099997
ACH-001328,-0.045841356268
ACH-001332,0.135360390052
ACH-001333,0.124410480281
ACH-001336,0.14138358739700002
ACH-001340,0.13377360076
ACH-001346,0.0988349357152
ACH-001353,0.147018679759
ACH-001354,-0.122364459056
ACH-001367,0.12397999508400001
ACH-001368,0.0849252278909
ACH-001374,0.00812483971044
ACH-001375,0.20426846149500003
ACH-001377,0.18604865420699998
ACH-001380,0.027109216239499998
ACH-001391,0.148529176326
