,ARF3 (377)
ACH-000810,0.141448028405
ACH-000811,-0.247320389045
ACH-000817,-0.399971447331
ACH-000819,-0.432731234666
ACH-000820,-0.20215208836399998
ACH-000821,-0.144107716401
ACH-000822,-0.521006673318
ACH-000823,-0.24837976888799998
ACH-000824,-0.04901277228709999
ACH-000827,-0.241448557729
ACH-000829,-0.362702252961
ACH-000831,-0.359184789822
ACH-000832,-0.456085119705
ACH-000833,-0.432851598698
ACH-000834,-0.294673822089
ACH-000835,-0.278654049194
ACH-000836,-0.210693034976
ACH-000837,-0.19241676909699998
ACH-000838,-0.09258514372360001
ACH-000839,-0.352046490031
ACH-000840,-0.105675284879
ACH-000841,-0.480924946454
ACH-000843,-0.23114869181699998
ACH-000846,-0.248057639884
ACH-000847,-0.381754049301
ACH-000848,-0.305375905619
ACH-000849,-0.298265652489
ACH-000851,-0.46811034371000004
ACH-000855,-0.19036985559300001
ACH-000856,-0.45827679848
ACH-000858,-0.09705831164239999
ACH-000859,-0.524732470959
ACH-000861,-0.338140995642
ACH-000862,-0.299922235354
ACH-000865,-0.300804567072
ACH-000866,-0.26744648235
ACH-000867,-0.318306928615
ACH-000869,-0.39435275658600005
ACH-000872,-0.21061641185600002
ACH-000873,-0.41403455569700004
ACH-000876,-0.326589558181
ACH-000878,-0.46455146962399996
ACH-000880,-0.486081679975
ACH-000881,-0.21643793798799998
ACH-000882,-0.288116887444
ACH-000884,-0.33689811756
ACH-000885,-0.303445954463
ACH-000887,-0.410705362807
ACH-000888,-0.256506641058
ACH-000889,-0.283297919279
ACH-000890,-0.404475737452
ACH-000896,-0.278071272555
ACH-000898,-0.41966165612499995
ACH-000900,-0.562150719219
ACH-000901,-0.48475819405599996
ACH-000905,-0.21806428753499998
ACH-000906,-0.373029983485
ACH-000907,-0.292826656373
ACH-000910,-0.113685066486
ACH-000911,-0.16933912537999998
ACH-000912,-0.353273690069
ACH-000913,-0.36827279265100005
ACH-000915,-0.36690954268200004
ACH-000916,-0.0637737931681
ACH-000917,-0.444792595221
ACH-000921,-0.326563758548
ACH-000924,-0.38877633362899994
ACH-000926,-0.386894787815
ACH-000928,-0.10787975050200001
