,DSCR3 (10311)
ACH-000858,0.10947718631799999
ACH-000859,0.024371685940299998
ACH-000861,-0.202314419955
ACH-000862,-0.0152051416632
ACH-000865,-0.088117108661
ACH-000866,0.0100802116845
ACH-000867,-0.0367452254137
ACH-000869,-0.389751532178
ACH-000872,-0.0638154290459
ACH-000873,-0.359180374063
ACH-000876,0.0777655288748
ACH-000878,-0.175129092174
ACH-000880,-0.164622120529
ACH-000881,-0.119120736749
ACH-000882,-0.11907943134299999
ACH-000884,-0.028599612964599997
ACH-000885,-0.134811458454
ACH-000887,-0.08971944440639999
ACH-000888,-0.215170954006
ACH-000889,-0.235245038069
ACH-000890,0.043132825656399996
ACH-000896,-0.372208721624
ACH-000898,0.0138379978912
ACH-000900,-0.027948375983199998
ACH-000901,-0.0206200501802
ACH-000905,-0.279122008285
ACH-000906,-0.0415492897187
ACH-000907,-0.492911700571
ACH-000910,0.041498476142599994
ACH-000911,0.062462802326999994
ACH-000912,-0.016551571141700003
ACH-000913,-0.0451158676326
ACH-000915,-0.12007119613
ACH-000916,-0.0594831961391
ACH-000917,-0.139948949603
ACH-000921,0.12027259844799999
ACH-000924,-0.0850837557418
ACH-000926,0.0440753915687
ACH-000928,-0.193768415103
ACH-000929,-0.183952715794
ACH-000932,-0.0186272178421
ACH-000935,0.17228001886500002
ACH-000936,-0.207969919482
ACH-000937,-0.34847585655100005
ACH-000938,-0.330440111581
ACH-000939,-0.287516358732
ACH-000941,0.113335477962
ACH-000943,0.109181756336
ACH-000946,-0.045206539448300005
ACH-000947,0.026489135844
ACH-000948,-0.12028660191500001
ACH-000950,-0.227601868195
ACH-000953,-0.0898463402926
ACH-000957,-0.191494890294
ACH-000958,0.108973813039
ACH-000960,0.0755781464323
ACH-000963,-0.0329440737422
ACH-000968,-0.0543533403448
ACH-000969,-0.02938310162
ACH-000973,-0.0436725638371
ACH-000974,0.107097568859
ACH-000975,-0.0909242711532
ACH-000976,-0.046242524899000007
ACH-000978,-0.06913906698
ACH-000980,-0.07336130589930001
ACH-000984,0.0029833503863999997
ACH-000986,-0.137870374827
ACH-000988,-0.08375438044710001
ACH-000993,-0.0660431805403
ACH-000994,-0.0405619650212
ACH-000996,-0.183971679904
ACH-001001,-0.139198006854
ACH-001020,-0.24428145696999998
ACH-001028,-0.02710706889
ACH-001031,-0.18352450999400002
ACH-001038,-0.06907672994580001
ACH-001048,-0.155447028392
ACH-001050,-0.140298376374
ACH-001053,0.114419447784
ACH-001054,0.025682623038499997
ACH-001061,-0.0828763684798
ACH-001067,-0.131765763621
ACH-001075,-0.470634791348
ACH-001096,-0.0481245769591
ACH-001128,-0.32963901272
ACH-001134,-0.116005253387
ACH-001151,-0.0814649508323
ACH-001163,0.0287570180383
ACH-001164,-0.105928236648
ACH-001173,-0.047825018689800006
ACH-001183,-0.263911845762
ACH-001184,0.016233399483700003
ACH-001190,0.0600257791718
ACH-001192,-0.0206624092758
ACH-001193,-0.038285695189
ACH-001196,0.0580847329423
ACH-001197,0.057788757170900006
ACH-001205,-0.149410535261
ACH-001211,0.0662425298339
ACH-001212,-0.09408526191199999
ACH-001228,-0.248668601982
ACH-001232,-0.0311588980397
ACH-001239,0.0362008185441
ACH-001274,-0.0960520773522
ACH-001275,-0.118857510436
ACH-001277,-0.32881302291700004
ACH-001278,-0.0057102974092600005
ACH-001280,0.038545171324
ACH-001283,0.0508466465331
ACH-001289,0.0303823476419
ACH-001295,-0.123269773606
ACH-001300,0.0703676236977
ACH-001301,0.12150792391200001
ACH-001302,0.10010940138499999
ACH-001303,-0.406530063261
ACH-001306,-0.0209465023928
ACH-001318,-0.0193188744256
ACH-001322,-0.153808027795
ACH-001328,-0.21743939888099997
ACH-001332,0.07027777718610001
ACH-001333,0.044273928843800006
ACH-001336,-0.0202850694774
ACH-001340,-0.08666413541269999
ACH-001346,-0.118931668135
ACH-001353,-0.127508223345
ACH-001354,-0.0253932719701
ACH-001367,0.028738767938099995
ACH-001368,-0.0494690178955
ACH-001374,-0.420758752975
ACH-001375,-0.383441638254
ACH-001377,-0.06956500305869999
ACH-001380,-0.21152636125100002
ACH-001391,0.185335019439
ACH-001407,0.133245760612
ACH-001408,-0.151881376057
ACH-001413,-0.0442280288318
ACH-001430,-0.0426866954412
ACH-001431,0.065833196249
ACH-001450,0.10477055675000001
ACH-001496,0.0022198451887399996
ACH-001500,-0.259549147167
ACH-001521,-0.384556997939
ACH-001523,-0.104965568723
ACH-001532,-0.08349045409360001
ACH-001536,-0.206834742723
ACH-001550,-0.09027957416310001
ACH-001552,0.0834094019478
ACH-001554,0.0272850228997
ACH-001645,0.0213072823534
ACH-001654,-0.22028116213399998
ACH-001715,-0.00567456164188
ACH-001735,0.0714293821143
ACH-001736,0.0028986899631700002
ACH-001737,-0.20587965742
ACH-001740,-0.00731337861436
ACH-001745,-0.15322646491
ACH-001750,-0.0455843966037
ACH-001765,0.143184527236
ACH-001956,-0.235467257414
ACH-001957,0.0105026610203
