,MIP (4284)
ACH-000769,0.0176083621922
ACH-000770,-0.013032625612899999
ACH-000771,-0.143982907575
ACH-000773,-0.18844810754299998
ACH-000776,-0.122541036926
ACH-000777,-0.034492672458
ACH-000778,0.0106974936286
ACH-000781,0.0582902047762
ACH-000782,-0.278523056359
ACH-000783,-0.10925259014000001
ACH-000784,-0.0977184060008
ACH-000785,-0.221573304527
ACH-000787,-0.14965736908
ACH-000788,-0.109662030641
ACH-000791,0.0673023163509
ACH-000792,-0.28800331327
ACH-000794,0.0641658137732
ACH-000796,-0.130987154348
ACH-000799,0.0721940441858
ACH-000800,-0.403214373764
ACH-000802,-0.0196450292317
ACH-000804,-0.0682761171569
ACH-000805,-0.206347649149
ACH-000809,-0.12204023209899999
ACH-000810,-0.056912071494
ACH-000811,-0.14858877593699998
ACH-000817,-0.18082049031599998
ACH-000819,2.39931679096e-06
ACH-000820,-0.181523371402
ACH-000821,-0.139952786339
ACH-000822,-0.327533081212
ACH-000823,-0.16005900683399998
ACH-000824,0.0702342576886
ACH-000827,-0.116527050648
ACH-000829,0.115886935015
ACH-000831,-0.15047405256100002
ACH-000832,0.0764504903352
ACH-000833,-0.264635430996
ACH-000834,-0.05783107076169999
ACH-000835,0.11063123661499999
ACH-000836,0.12522127815300002
ACH-000837,-0.151262064719
ACH-000838,0.10087078629
ACH-000839,-0.0755668509117
ACH-000840,0.00339704537091
ACH-000841,-0.0781499640219
ACH-000843,0.0957622650509
ACH-000846,-0.137556484739
ACH-000847,-0.436626103274
ACH-000848,-0.06952246764160001
ACH-000849,0.0765260143151
ACH-000851,-0.42405636914000006
ACH-000855,-0.000983456657981
ACH-000856,-0.182860820493
ACH-000858,-0.0565345426393
ACH-000859,-0.156540656995
ACH-000861,-0.23538690918400001
ACH-000862,0.10323965081599999
ACH-000865,-0.213183275132
ACH-000866,-0.0604858266605
ACH-000867,0.032429195201500005
ACH-000869,-0.233888868625
ACH-000872,0.047692383988
ACH-000873,-0.0924517891911
ACH-000876,-0.133178892761
ACH-000878,-0.238413903396
ACH-000880,-0.307816531839
ACH-000881,-0.037467439256000004
ACH-000882,-0.026411014823599997
ACH-000884,-0.0115082535619
ACH-000885,-0.253350416266
ACH-000887,-0.247181041141
ACH-000888,-0.07718809059119999
ACH-000889,-0.214540205295
ACH-000890,-0.011588581697200001
ACH-000896,-0.116042914602
ACH-000898,-0.41796257996200004
ACH-000900,-0.0683526907362
ACH-000901,-0.23126419118799998
ACH-000905,-0.019406356508400002
ACH-000906,-0.183494720033
ACH-000907,0.0136639523689
ACH-000910,0.0195592997997
ACH-000911,-0.0398431193926
ACH-000912,-0.121567074
ACH-000913,-0.124537031693
ACH-000915,-0.148610210118
ACH-000916,-0.12045112689899999
ACH-000917,0.013461544879600001
ACH-000921,-0.07347714203689999
ACH-000924,-0.20236874224100002
ACH-000926,-0.24309689694800002
ACH-000928,-0.143719098772
ACH-000929,-0.17150392571400003
ACH-000932,-0.00585871464367
ACH-000935,-0.020650115000599996
ACH-000936,-0.21359799866
ACH-000937,-0.18638145832400002
ACH-000938,-0.227062796222
ACH-000939,-0.0659015431788
ACH-000941,-0.0190717479192
ACH-000943,-0.0940092165198
ACH-000946,-0.08670339183689998
ACH-000947,-0.01720738489
ACH-000948,0.0372570003839
ACH-000950,-0.202234490835
ACH-000953,-0.127290723702
ACH-000957,-0.159919778551
ACH-000958,0.025811970043999998
ACH-000960,-0.203038103086
ACH-000963,0.0040324460836499995
ACH-000968,-0.16379711252
ACH-000969,-0.0283133131151
ACH-000973,-0.155243203528
ACH-000974,-0.15890580352800002
ACH-000975,-0.08098507481139999
ACH-000976,-0.0622522083646
ACH-000978,-0.0176668731722
ACH-000980,-0.025404807027599997
ACH-000984,-0.255941450838
ACH-000986,-0.09096131637150001
ACH-000988,0.056514199124600005
ACH-000993,-0.179589181118
ACH-000994,-0.037935051779199994
ACH-000996,-0.166421749245
ACH-001001,-0.21692312210099998
ACH-001020,0.26241525393000004
ACH-001028,-0.102105213453
ACH-001031,-0.012397321804799999
ACH-001038,-0.242205590413
ACH-001048,-0.0892403810962
ACH-001050,-0.228846132456
ACH-001053,-0.331987159648
ACH-001054,-0.08860121124189999
ACH-001061,-0.265094177926
ACH-001067,-0.0228348796806
ACH-001075,-0.0801308735503
ACH-001096,-0.16762197386299998
ACH-001128,0.13939396730599998
ACH-001134,-0.13699591364299998
ACH-001151,-0.113518003334
ACH-001163,-0.204367597027
ACH-001164,0.026911607773700004
ACH-001173,-0.109746102412
ACH-001183,-0.0254662341517
ACH-001184,0.014886004657299999
