,TPD52L3 (89882)
ACH-000805,0.021564733303200002
ACH-000809,0.0654304274712
ACH-000810,-0.15454908703700002
ACH-000811,-0.0462871307426
ACH-000817,0.013387998823400001
ACH-000819,0.038385280565400005
ACH-000820,-0.00846762142617
ACH-000821,0.0159344191798
ACH-000822,0.0247101217801
ACH-000823,-0.034651476913300006
ACH-000824,0.05551835575119999
ACH-000827,0.040972809823
ACH-000829,-0.08080023778869999
ACH-000831,0.171612588442
ACH-000832,0.15928767932600002
ACH-000833,0.00345763314839
ACH-000834,0.0077505370761000005
ACH-000835,-0.126320869025
ACH-000836,-0.0323653768676
ACH-000837,-0.051673390245699995
ACH-000838,0.0967562228619
ACH-000839,0.12415691465999998
ACH-000840,0.0713189199816
ACH-000841,0.23742835077899999
ACH-000843,0.153264174108
ACH-000846,0.137991275403
ACH-000847,-0.029298302715599998
ACH-000848,0.0472124360628
ACH-000849,-0.0266105168535
ACH-000851,0.0318659926914
ACH-000855,-0.278869843455
ACH-000856,0.0429271800847
ACH-000858,-0.0801884291905
ACH-000859,-0.255563611076
ACH-000861,0.0645663813638
ACH-000862,-0.0412441691087
ACH-000865,-0.06509849152580001
ACH-000866,0.00325036993661
ACH-000867,0.0317998153596
ACH-000869,0.0370778218481
ACH-000872,-0.0636312170845
ACH-000873,0.00633740601672
ACH-000876,0.0012000092487999998
ACH-000878,0.30581012817
ACH-000880,0.036829466609300004
ACH-000881,0.0477702266915
ACH-000882,-0.0553488292234
ACH-000884,-0.00761066740343
ACH-000885,-0.0324939924826
ACH-000887,-0.0027837824655300002
ACH-000888,0.0749291858735
ACH-000889,0.14650556874600001
ACH-000890,-0.06275743759930001
ACH-000896,0.0407509934644
ACH-000898,0.114958306083
ACH-000900,0.06627612541040001
ACH-000901,0.00676613102934
ACH-000905,0.0659611418084
ACH-000906,0.0549615385391
ACH-000907,-0.0739996575942
ACH-000910,0.15541882043400002
ACH-000911,0.00733097887645
ACH-000912,-0.0721761154111
ACH-000913,0.0260458919078
ACH-000915,-0.00254441417355
ACH-000916,0.0296813187436
ACH-000917,0.115280628254
ACH-000921,0.0774664956917
ACH-000924,0.12353310562999999
ACH-000926,0.046878917420699995
ACH-000928,0.140303505607
ACH-000929,0.0063595846739
ACH-000932,0.034008267988
ACH-000935,-0.123440555105
ACH-000936,0.0359709655144
ACH-000937,0.059456302455099995
ACH-000938,0.108879063239
ACH-000939,0.215527208422
ACH-000941,0.20654127133900002
ACH-000943,0.07283856334239999
ACH-000946,0.150588205003
ACH-000947,-0.142850416273
ACH-000948,0.28111267731999995
ACH-000950,0.0
ACH-000953,0.269603948301
ACH-000957,0.0627133748652
ACH-000958,0.0339712277971
ACH-000960,0.0490151438897
ACH-000963,0.182628570722
ACH-000968,0.0968875992592
ACH-000969,0.09345525748120001
ACH-000973,0.0726307838005
ACH-000974,0.135453805845
ACH-000975,0.0822458769042
ACH-000976,0.093079533807
ACH-000978,-0.290224455805
ACH-000980,0.051679844276300006
ACH-000984,0.0132814310797
ACH-000986,0.060525092404500005
ACH-000988,0.22173846090399998
ACH-000993,0.115066837164
ACH-000994,0.060106037792300004
ACH-000996,-0.0842186726388
ACH-001001,0.0713884111962
ACH-001020,-0.18332661081
ACH-001028,0.126396789308
ACH-001031,0.012792388654799999
ACH-001038,0.009934144668450001
ACH-001048,-0.005709281557050001
ACH-001050,0.11589239144
ACH-001053,0.0171622760406
ACH-001054,0.103278013212
ACH-001061,-0.0180284752971
ACH-001067,0.127835214609
ACH-001075,-0.138313214434
ACH-001096,-0.13726925618799998
ACH-001128,-0.155320940891
ACH-001134,0.27584665002
ACH-001151,0.00606399978805
ACH-001163,0.00533363916792
ACH-001164,0.0603936698145
ACH-001173,0.0546269896662
ACH-001183,-0.0542286808892
ACH-001184,-0.101382196807
ACH-001190,0.0481047460992
ACH-001192,0.0323699175793
ACH-001193,0.09321949420119999
ACH-001196,-0.0905997528386
ACH-001197,-0.0796641501815
ACH-001205,0.0400010181115
ACH-001211,0.16762794089400002
ACH-001212,0.09702777219450001
ACH-001228,-0.041118025342
ACH-001232,-0.0580478062209
ACH-001239,0.0706407195736
ACH-001274,0.040867964632
ACH-001275,-0.137217327624
ACH-001277,0.0140199348114
ACH-001278,-0.00496034168205
ACH-001280,-0.009127037200090001
ACH-001283,0.0887936056278
ACH-001289,0.257699154016
ACH-001295,-0.032932211259
ACH-001300,0.0314920423048
ACH-001301,-0.20349592183899998
ACH-001302,0.09909264334989998
ACH-001303,0.293812738167
ACH-001306,0.14514452893899998
ACH-001318,0.00921713621007
ACH-001322,0.1194891077
ACH-001328,0.17586432679000003
ACH-001332,-0.0086556972255
ACH-001333,0.177750381232
ACH-001336,0.108846662686
ACH-001340,0.05942699473759999
ACH-001346,-0.0781129557639
ACH-001353,0.050811327030600005
ACH-001354,0.00043379748843599996
ACH-001367,0.054760326378
ACH-001368,-0.0189022782828
ACH-001374,0.24027645202700001
ACH-001375,-0.008548896443779999
ACH-001377,-0.0205790552793
ACH-001380,0.0305892426126
ACH-001391,0.218745371358
ACH-001407,-0.0779439643702
ACH-001408,-0.143529766787
ACH-001413,0.0642726864071
ACH-001430,-0.0684707713356
ACH-001431,-0.0988882409653
ACH-001450,-0.0509284205192
ACH-001496,-0.043125769283
ACH-001500,-0.0220332682843
ACH-001521,-0.031197663801700002
ACH-001523,0.148555339379
ACH-001532,0.0258956275696
ACH-001536,-0.129639873454
ACH-001550,0.186788307441
ACH-001552,-0.104914071704
ACH-001554,-0.046801893140199995
ACH-001645,0.11329554335999999
ACH-001654,0.0597221105162
ACH-001715,0.23506659110599998
ACH-001735,0.0135925575113
ACH-001736,-0.0324467640888
ACH-001737,0.0867462391773
ACH-001740,0.078521861326
ACH-001745,-0.0470909058502
ACH-001750,0.0222128697636
ACH-001765,0.067584290724
ACH-001956,0.0636592008546
ACH-001957,0.0968329828957
