,SPDL1 (54908)
ACH-000882,-0.593324264791
ACH-000884,-0.9259902882109999
ACH-000885,-1.0731099805500002
ACH-000887,-0.876725772816
ACH-000888,-1.04019168435
ACH-000889,-0.531153052684
ACH-000890,-0.683221493448
ACH-000896,-0.73959363807
ACH-000898,-0.982558907429
ACH-000900,-0.878443626128
ACH-000901,-0.782765045872
ACH-000905,-0.751461692662
ACH-000906,-0.828359929923
ACH-000907,-0.697946911338
ACH-000910,-0.925590993752
ACH-000911,-0.7879496901180001
ACH-000912,-0.8486276859370001
ACH-000913,-0.9045577931859999
ACH-000915,-0.821228648843
ACH-000916,-1.2313487035600001
ACH-000917,-0.83885779345
ACH-000921,-0.932510406599
ACH-000924,-0.972762369342
ACH-000926,-0.8926152101450001
ACH-000928,-0.631902123203
ACH-000929,-0.9064848058030001
ACH-000932,-1.06417387449
ACH-000935,-1.22578415856
ACH-000936,-0.643745425707
ACH-000937,-0.5823253633659999
ACH-000938,-0.780079539128
ACH-000939,-1.08112638313
ACH-000941,-0.705861747937
ACH-000943,-0.777709468134
ACH-000946,-0.9410076364959999
ACH-000947,-0.7547421722769999
ACH-000948,-1.05006932487
ACH-000950,-0.583532912647
ACH-000953,-0.532774577495
ACH-000957,-0.9681690732930001
ACH-000958,-0.7411647426510001
ACH-000960,-0.875035530068
ACH-000963,-0.8558918772509999
ACH-000968,-0.806908292367
ACH-000969,-0.979531315211
ACH-000973,-1.04138640783
ACH-000974,-0.818218707694
ACH-000975,-0.851725628046
ACH-000976,-0.84947380308
ACH-000978,-0.534176432491
ACH-000980,-1.00217070668
ACH-000984,-1.04795415133
ACH-000986,-0.8367893733570001
ACH-000988,-0.521810405089
ACH-000993,-1.09130191251
ACH-000994,-0.7836743467739999
ACH-000996,-0.8906144462090001
ACH-001001,-0.780188881803
ACH-001020,-0.8908366199400001
ACH-001028,-0.742575950512
ACH-001031,-0.876186514173
ACH-001038,-0.914608817143
ACH-001048,-0.9726371418340001
ACH-001050,-0.972140052997
ACH-001053,-0.820856506038
ACH-001054,-0.830756649163
ACH-001061,-0.7327407935169999
ACH-001067,-0.954631171326
ACH-001075,-1.00769165419
ACH-001096,-0.739117455174
ACH-001128,-1.1004000241399998
ACH-001134,-1.19694653508
ACH-001151,-0.9036037223669999
ACH-001163,-0.592982879266
ACH-001164,-0.6676725273740001
ACH-001173,-0.856411153644
ACH-001183,-0.933531922725
ACH-001184,-0.667151343814
ACH-001190,-0.68691162575
ACH-001192,-0.9807719946269999
ACH-001193,-0.8159205924899999
ACH-001196,-0.668300392098
ACH-001197,-1.2145019475299998
ACH-001205,-1.0203676747
ACH-001211,-1.15460685933
ACH-001212,-0.427572704004
ACH-001228,-0.928301202693
ACH-001232,-0.997854657252
ACH-001239,-0.705250245813
ACH-001274,-0.773518170742
ACH-001275,-0.9251681523499999
ACH-001277,-0.803171193354
ACH-001278,-1.00815777874
ACH-001280,-0.8503467475030001
ACH-001283,-0.6882707963629999
ACH-001289,-0.756558067187
ACH-001295,-0.888190781468
ACH-001300,-1.10899602336
ACH-001301,-1.1854112215700001
ACH-001302,-0.939309841419
ACH-001303,-0.783531814427
ACH-001306,-0.9563132710179999
ACH-001318,-0.6799770135780001
ACH-001322,-0.896192188921
ACH-001328,-0.9621932661750001
ACH-001332,-0.623338465734
ACH-001333,-0.877960581109
ACH-001336,-1.1008742579100002
ACH-001340,-1.05108907234
ACH-001346,-0.890702480521
ACH-001353,-0.8192866892990001
ACH-001354,-0.832554222366
ACH-001367,-0.7673489094939999
ACH-001368,-0.8246424631579999
ACH-001374,-0.68003231068
ACH-001375,-0.832880106515
ACH-001377,-0.9766337884890001
ACH-001380,-0.8371537339899999
ACH-001391,-1.05995992059
ACH-001407,-0.685030138103
ACH-001408,-0.925254030772
ACH-001413,-0.7552814363760001
ACH-001430,-0.852409535417
ACH-001431,-0.9900902255149999
ACH-001450,-0.853648372478
ACH-001496,-0.868913711054
ACH-001500,-0.9649341556029999
ACH-001521,-1.01641279318
ACH-001523,-0.694085017955
ACH-001532,-1.0092356671200002
ACH-001536,-0.763481518733
ACH-001550,-1.23785025589
ACH-001552,-1.0715158144799999
ACH-001554,-0.7801420435680001
ACH-001645,-0.9695933971259999
ACH-001654,-0.8500456585870001
ACH-001715,-0.8460891171349999
ACH-001735,-0.753024469498
ACH-001736,-0.92979386558
ACH-001737,-0.368295234863
ACH-001740,-0.831437269303
ACH-001745,-0.623235871057
ACH-001750,-0.794518102841
ACH-001765,-0.723360995695
ACH-001956,-1.0433778168999999
ACH-001957,-0.555829252507
