,OR8B12 (219858)
ACH-001054,-0.171608430678
ACH-001061,-0.09444779114119999
ACH-001067,-0.169503895616
ACH-001075,-0.385612898945
ACH-001096,-0.257262418969
ACH-001128,0.17716427104899998
ACH-001134,-0.198281052407
ACH-001151,-0.145209872782
ACH-001163,-0.093406682499
ACH-001164,-0.297246405464
ACH-001173,-0.125594132203
ACH-001183,-0.07122736403339999
ACH-001184,-0.26236830019
ACH-001190,-0.327738461638
ACH-001192,0.147185506927
ACH-001193,-0.41753969671700003
ACH-001196,-0.137767751247
ACH-001197,0.0990511598151
ACH-001205,-0.404531911541
ACH-001211,-0.188925422628
ACH-001212,-0.147757424508
ACH-001228,-0.20483684982
ACH-001232,0.097122516236
ACH-001239,-0.054768897810300005
ACH-001274,-0.36994595710999995
ACH-001275,-0.244353076895
ACH-001277,-0.244629048323
ACH-001278,-0.036481598127
ACH-001280,-0.10095434633400001
ACH-001283,-0.0682271245297
ACH-001289,-0.138252729247
ACH-001295,-0.15906086329000002
ACH-001300,-0.218795978111
ACH-001301,-0.161905339825
ACH-001302,-0.286509512948
ACH-001303,-0.049562087653099995
ACH-001306,-0.0340940578889
ACH-001318,-0.242052736197
ACH-001322,-0.147756053741
ACH-001328,-0.0576030216059
ACH-001332,0.0293913134608
ACH-001333,0.0316176826103
ACH-001336,-0.156497347368
ACH-001340,-0.257394574827
ACH-001346,-0.163047088458
ACH-001353,-0.148006449839
ACH-001354,-0.066523823265
ACH-001367,0.0792294017513
ACH-001368,-0.313410201516
ACH-001374,0.33022493031100003
ACH-001375,-0.170402309801
ACH-001377,-0.31671668963599997
ACH-001380,-0.0803950755473
ACH-001391,0.0688276309925
ACH-001407,-0.0740186171385
ACH-001408,-0.134500259247
ACH-001413,-0.095300966184
ACH-001430,0.147218997202
ACH-001431,-0.41084873317500004
ACH-001450,-0.337776555092
ACH-001496,-0.023565332015400002
ACH-001500,-0.226969150319
ACH-001521,0.08482025687519999
ACH-001523,-0.315153886897
ACH-001532,-0.17611588029800002
ACH-001536,-0.043669522821699995
ACH-001550,-0.138734846069
ACH-001552,-0.19154068264899998
ACH-001554,-0.07738173781789999
ACH-001645,0.0320050104558
ACH-001654,-0.219041938691
ACH-001715,-0.0195047463177
ACH-001735,-0.18815946013300003
ACH-001736,-0.144468682851
ACH-001737,-0.635972680219
ACH-001740,-0.18680732850499998
ACH-001745,-0.144162841868
ACH-001750,0.049636973411499995
ACH-001765,-0.0666950964955
ACH-001956,-0.0971836007337
ACH-001957,-0.117535517634
