,POLD2 (5425)
ACH-000802,-0.9784254941439999
ACH-000804,-1.05664510348
ACH-000805,-0.701324962806
ACH-000809,-0.748659268653
ACH-000810,-0.55740653873
ACH-000811,-1.27277112245
ACH-000817,-0.883437589342
ACH-000819,-0.927916680731
ACH-000820,-0.5513047441219999
ACH-000821,-1.1278601286
ACH-000822,-1.0503447535400001
ACH-000823,-0.788583250193
ACH-000824,-0.651669828506
ACH-000827,-0.539213993423
ACH-000829,-1.07844639433
ACH-000831,-0.878302049499
ACH-000832,-0.6745528724
ACH-000833,-0.9846893636190001
ACH-000834,-1.023594717
ACH-000835,-0.837143029517
ACH-000836,-1.08211519558
ACH-000837,-0.826375023141
ACH-000838,-0.762600629636
ACH-000839,-0.8001547594600001
ACH-000840,-0.938560511373
ACH-000841,-0.7890252722840001
ACH-000843,-1.01472353465
ACH-000846,-1.00596737113
ACH-000847,-0.556207288691
ACH-000848,-1.06926597719
ACH-000849,-0.899348735939
ACH-000851,-0.9274564388809999
ACH-000855,-0.800935204643
ACH-000856,-0.979542608318
ACH-000858,-0.9287828199320001
ACH-000859,-0.601892636273
ACH-000861,-0.856494857803
ACH-000862,-0.992501220258
ACH-000865,-0.8176369280410001
ACH-000866,-1.02351598551
ACH-000867,-0.839464588988
ACH-000869,-0.764891424698
ACH-000872,-0.858953155445
ACH-000873,-0.948282141125
ACH-000876,-0.983991503811
ACH-000878,-1.08973904329
ACH-000880,-1.02358441808
ACH-000881,-0.7905272857529999
ACH-000882,-0.807638658873
ACH-000884,-0.950715917575
ACH-000885,-0.744167226397
ACH-000887,-0.860445297272
ACH-000888,-0.8702070877410001
ACH-000889,-0.863329471385
ACH-000890,-0.775348544868
ACH-000896,-0.879348658779
ACH-000898,-1.05677623824
ACH-000900,-0.85487125012
ACH-000901,-0.919794208848
ACH-000905,-0.8091520519859999
ACH-000906,-0.9249112392409999
ACH-000907,-0.6180461936389999
ACH-000910,-0.841707616474
ACH-000911,-0.902711170872
ACH-000912,-0.9199031989059999
ACH-000913,-1.02329675015
