,C5AR2 (27202)
ACH-000524,0.06267925835680001
ACH-000527,0.11377272678400001
ACH-000528,0.19835037925500001
ACH-000537,0.10744250124000002
ACH-000541,0.161258830501
ACH-000542,0.0613916781166
ACH-000544,0.140008581055
ACH-000545,0.11694917935999999
ACH-000547,0.0816879016362
ACH-000548,0.0226319314671
ACH-000549,0.193546912379
ACH-000550,0.180667046483
ACH-000552,0.0195174493714
ACH-000556,0.0863824027507
ACH-000557,0.254299979672
ACH-000570,0.16965312155
ACH-000571,0.042331253408300004
ACH-000573,-0.047425941210900005
ACH-000576,0.15864089457
ACH-000580,-0.0382806775433
ACH-000584,0.120473353214
ACH-000585,0.0340231594685
ACH-000588,0.021562271220999997
ACH-000589,0.0778234835374
ACH-000591,0.265534908918
ACH-000593,0.104314095415
ACH-000600,0.27320057727200003
ACH-000601,0.120294236975
ACH-000604,0.220604157086
ACH-000605,-0.00429018967355
ACH-000606,0.10682855613299999
ACH-000608,-0.0227661466469
ACH-000614,0.109306320479
ACH-000616,-0.121612795394
ACH-000618,0.16340638187999998
ACH-000619,0.21927674654100002
ACH-000620,0.11829173533199999
ACH-000621,0.0611130228454
ACH-000622,0.0342609524109
ACH-000623,0.048332212275300004
ACH-000624,0.09183348941299999
ACH-000627,-0.09316792792789999
ACH-000630,0.191232363565
ACH-000632,0.0932806103419
ACH-000633,0.224122098572
ACH-000637,0.08563621713530001
ACH-000638,0.0940782886605
ACH-000646,0.198754914432
ACH-000647,0.21208273508499997
ACH-000648,0.196155337671
ACH-000649,0.11997156535
ACH-000651,0.153532646062
ACH-000652,0.0696808985731
ACH-000653,0.10146471898199999
ACH-000657,0.107277434333
ACH-000658,0.123076927152
ACH-000661,0.0784983062192
ACH-000662,0.191614955011
ACH-000663,0.157641655427
ACH-000665,0.185548029058
ACH-000671,0.311965073747
ACH-000673,0.138276801539
ACH-000676,0.0801733232461
ACH-000677,0.00815542076612
ACH-000681,0.07814914616499999
ACH-000682,0.11693881356699999
ACH-000683,0.167641353477
ACH-000684,0.30526201993
ACH-000688,0.13746338707900002
ACH-000693,0.0678907376928
ACH-000694,0.0812810326719
ACH-000695,0.136576913699
ACH-000696,0.0886862771318
ACH-000697,0.113278639849
ACH-000699,-0.0534123785479
ACH-000701,-0.03647910239590001
ACH-000706,0.191617979109
ACH-000711,0.09362756359860001
ACH-000713,0.022636187653900002
ACH-000714,-0.00605081044198
ACH-000718,0.0805452296208
ACH-000720,0.18934412441799997
ACH-000721,0.13239968058499998
ACH-000724,0.101682975646
ACH-000725,0.0691155384298
