,AMH (268)
ACH-000946,-0.0435230901913
ACH-000947,-0.047954333784
ACH-000948,-0.05884174584369999
ACH-000950,-0.0913270780957
ACH-000953,-0.0273551868282
ACH-000957,0.09473934238569999
ACH-000958,0.204440640872
ACH-000960,0.040398436553599995
ACH-000963,0.07670438047660001
ACH-000968,-0.013811850118
ACH-000969,0.0179992840872
ACH-000973,0.102457326627
ACH-000974,0.123460604111
ACH-000975,0.06129055228540001
ACH-000976,-0.0461420609366
ACH-000978,0.6230001812929999
ACH-000980,0.045547279056699995
ACH-000984,0.026980494286799998
ACH-000986,0.16307107033399998
ACH-000988,0.048544909353300005
ACH-000993,0.0137986128339
ACH-000994,0.0563335951614
ACH-000996,0.130341062321
ACH-001001,0.0665350063444
ACH-001020,-0.133611284991
ACH-001028,0.00384863705418
ACH-001031,-0.030004834518499997
ACH-001038,0.0497332320197
ACH-001048,-0.0527041791645
ACH-001050,-0.113038376788
ACH-001053,-0.0189439156982
ACH-001054,0.24408961629200002
ACH-001061,0.028642502388900003
ACH-001067,-0.0818934874548
ACH-001075,-0.207109768784
ACH-001096,0.122953326752
ACH-001128,-0.0975788057539
ACH-001134,0.1602657113
ACH-001151,-0.111937989089
ACH-001163,0.0991682613091
ACH-001164,0.006364891084970001
ACH-001173,-0.00773421323464
ACH-001183,0.09593569637560001
ACH-001184,0.039594893312900004
ACH-001190,0.09720642586480001
ACH-001192,-0.0853423794179
ACH-001193,-0.22862299142099998
ACH-001196,0.022100660768499997
ACH-001197,0.151453859215
ACH-001205,0.007850497940579999
ACH-001211,0.132600245552
ACH-001212,0.09309251004869999
ACH-001228,0.099753582477
ACH-001232,0.0158819903189
ACH-001239,0.06649207071499999
ACH-001274,0.0984694901554
ACH-001275,-0.0337706942769
ACH-001277,-0.307099011884
ACH-001278,0.131481140898
ACH-001280,0.299838980292
ACH-001283,0.0615609853546
ACH-001289,0.0660723692124
ACH-001295,0.0462457484925
ACH-001300,-0.100121670679
ACH-001301,-0.126581229529
ACH-001302,-0.0625929116069
ACH-001303,-0.011069337852
ACH-001306,0.04310780788319999
ACH-001318,-0.06281943461299999
ACH-001322,0.0330641614676
ACH-001328,-0.037031759932
ACH-001332,-0.0288178484124
ACH-001333,0.251184391487
ACH-001336,-0.0229693189547
ACH-001340,0.0012425544598499998
ACH-001346,-0.047049015748199995
ACH-001353,-0.031383493857999996
ACH-001354,0.009379063413110001
ACH-001367,-0.023965965664800002
ACH-001368,-0.0587907781149
ACH-001374,-0.11397971123400001
ACH-001375,0.0951751146766
ACH-001377,0.180872557848
ACH-001380,-0.0142888639989
ACH-001391,-0.266389309157
ACH-001407,-0.0697773300665
ACH-001408,0.0034120287988299997
ACH-001413,0.0709474486748
ACH-001430,0.217813964864
ACH-001431,-0.0860647475251
ACH-001450,0.0509437719348
ACH-001496,0.0850331893385
ACH-001500,0.0499309199001
ACH-001521,0.0608755085446
ACH-001523,0.0785320242406
ACH-001532,0.156325339343
ACH-001536,0.09261849118799999
ACH-001550,0.06664852278280001
ACH-001552,-0.0313003199235
ACH-001554,0.0552026908942
ACH-001645,0.00144188680342
ACH-001654,-0.0108373044112
ACH-001715,-0.114970686068
ACH-001735,-0.119020944768
ACH-001736,0.07025453174480001
ACH-001737,0.058542967452300004
ACH-001740,0.0046905301279099995
ACH-001745,-0.111079258648
ACH-001750,0.133454216922
ACH-001765,-0.0168386901759
ACH-001956,0.021169517344900003
ACH-001957,0.09338744649939999
