,WDR60 (55112)
ACH-000963,0.45917819438199997
ACH-000968,0.157757730601
ACH-000969,0.391025976092
ACH-000973,0.26605619850900003
ACH-000974,0.306891624674
ACH-000975,0.134633450047
ACH-000976,0.419697202268
ACH-000978,0.181507061884
ACH-000980,0.241813187947
ACH-000984,0.272014909743
ACH-000986,0.309200801922
ACH-000988,0.427820075537
ACH-000993,0.051923188258499994
ACH-000994,0.153162621006
ACH-000996,0.269696759587
ACH-001001,0.314674856088
ACH-001020,0.460171954766
ACH-001028,0.269031524102
ACH-001031,0.341579285077
ACH-001038,0.269226192755
ACH-001048,0.325553387305
ACH-001050,0.26133614757
ACH-001053,0.04676142726290001
ACH-001054,0.472513745036
ACH-001061,0.31134366214000003
ACH-001067,0.161971340013
ACH-001075,0.42133838214599995
ACH-001096,0.18310132583299998
ACH-001128,0.317229654776
ACH-001134,0.39673182054399997
ACH-001151,0.259421065598
ACH-001163,0.184580329434
ACH-001164,0.257532435194
ACH-001173,0.302125719162
ACH-001183,0.154960471147
ACH-001184,0.24743145736900002
ACH-001190,0.5108298790300001
ACH-001192,0.330957996466
ACH-001193,0.0016512856535
ACH-001196,0.16706969775699998
ACH-001197,0.334045366117
ACH-001205,0.397725510962
ACH-001211,0.38966470079800003
ACH-001212,0.132992497183
ACH-001228,0.20956119232999998
ACH-001232,0.30929411059
ACH-001239,0.151385464908
ACH-001274,0.448955758666
ACH-001275,0.204619948629
ACH-001277,0.012819431509999998
ACH-001278,0.10933365054500001
ACH-001280,0.260146860407
ACH-001283,0.41458142611500004
ACH-001289,0.38590814084700004
ACH-001295,0.31601011352499997
ACH-001300,0.0935624365205
ACH-001301,0.0039797185254
ACH-001302,0.165070295015
ACH-001303,0.666985002999
ACH-001306,0.3885064086300001
ACH-001318,0.431028440947
ACH-001322,0.0920630655563
ACH-001328,0.378959487614
ACH-001332,0.6456149596399999
ACH-001333,0.437952914274
ACH-001336,0.517773900165
ACH-001340,0.375504596483
ACH-001346,0.4492311119
ACH-001353,0.18402114468
ACH-001354,0.802845604523
ACH-001367,0.514033134527
ACH-001368,0.369402713041
ACH-001374,0.273356339898
ACH-001375,0.21508200634100003
ACH-001377,0.16502161904
ACH-001380,0.338504733487
ACH-001391,0.0933724266697
ACH-001407,0.269270370709
ACH-001408,0.305192928187
ACH-001413,0.33003678611
ACH-001430,-0.130120265171
