,HDAC10 (83933)
ACH-000917,0.10989845161299999
ACH-000921,0.077548532922
ACH-000924,0.181746576494
ACH-000926,0.173593674478
ACH-000928,0.0784654110756
ACH-000929,0.042045182357299996
ACH-000932,0.277331011284
ACH-000935,0.013979122903499999
ACH-000936,0.17968003058600002
ACH-000937,0.214830846641
ACH-000938,0.17657945337
ACH-000939,0.300600583104
ACH-000941,0.148400548363
ACH-000943,0.151938630558
ACH-000946,0.196412213317
ACH-000947,0.08743412565160001
ACH-000948,0.184412934122
ACH-000950,0.22751984843400003
ACH-000953,-0.0106023893061
ACH-000957,0.07614296394589999
ACH-000958,0.243923089408
ACH-000960,0.0566255438784
ACH-000963,0.145998287467
ACH-000968,0.154181522643
ACH-000969,0.0789759498624
ACH-000973,0.120864091932
ACH-000974,0.049696438604800004
ACH-000975,0.111488270273
ACH-000976,0.126312518249
ACH-000978,0.0389301998984
ACH-000980,0.101450745474
ACH-000984,0.19301510392000001
ACH-000986,0.0339706561172
ACH-000988,0.127725147159
ACH-000993,0.058237260511
ACH-000994,0.0117549036146
ACH-000996,0.161427025872
ACH-001001,0.0471427059181
ACH-001020,0.390040060709
ACH-001028,0.161237648583
ACH-001031,0.04366019419890001
ACH-001038,0.11193849007300001
ACH-001048,0.0545834157996
ACH-001050,0.157711456228
ACH-001053,0.0720103260533
ACH-001054,0.121989633893
ACH-001061,0.179151765365
ACH-001067,-0.014469860629700002
ACH-001075,0.11948561928300001
ACH-001096,0.16502623459000001
ACH-001128,0.8794001893179999
ACH-001134,0.16396264810699998
ACH-001151,0.0912382735561
ACH-001163,0.050467291962800004
ACH-001164,0.0256301298857
ACH-001173,0.195446939513
ACH-001183,0.119094301189
ACH-001184,0.0890248260595
ACH-001190,-0.0027932856189
ACH-001192,0.210214262284
ACH-001193,0.13326647318499998
ACH-001196,0.15615606673000001
ACH-001197,-0.067214391703
ACH-001205,-0.00261404216508
ACH-001211,0.269948010879
ACH-001212,0.26354850659400003
ACH-001228,0.142338640501
ACH-001232,0.022133926927400002
ACH-001239,0.197384668488
ACH-001274,0.054370587760000005
ACH-001275,0.118358524725
ACH-001277,0.0900827019607
ACH-001278,0.0351527650968
ACH-001280,0.0718506181809
ACH-001283,0.035633280901800006
ACH-001289,0.0206797065815
ACH-001295,0.010143874032700001
ACH-001300,0.0588227932335
ACH-001301,0.27184666417
ACH-001302,0.047630487430099996
ACH-001303,0.197492461115
ACH-001306,0.139731228078
ACH-001318,0.212358109553
ACH-001322,-0.0471526973406
ACH-001328,0.130264581091
ACH-001332,0.0734409267249
ACH-001333,0.19965641006999998
ACH-001336,0.11050955106100001
ACH-001340,0.015199605908399999
ACH-001346,-0.035431639704699994
ACH-001353,0.17299304808899998
ACH-001354,0.0872757757659
ACH-001367,0.156095293244
ACH-001368,0.013621434516300001
ACH-001374,-0.316515901226
ACH-001375,0.257347073723
ACH-001377,0.14695937998
ACH-001380,0.199968570377
ACH-001391,0.0946756846132
ACH-001407,-0.0248741509743
ACH-001408,0.0787680756448
ACH-001413,0.14014139305
ACH-001430,0.0482455811931
ACH-001431,0.131983874827
ACH-001450,0.195074303266
ACH-001496,0.24085586277600002
ACH-001500,0.19699770011
ACH-001521,-0.113569245636
ACH-001523,0.198656845708
ACH-001532,0.11250533837000001
ACH-001536,0.213989317135
ACH-001550,0.40459612050399996
ACH-001552,0.129644200962
ACH-001554,0.1123159191
ACH-001645,0.104526997666
ACH-001654,0.025133849606900002
ACH-001715,0.072535997648
ACH-001735,0.09134430070810001
ACH-001736,0.149158188076
ACH-001737,0.0909286529053
ACH-001740,-0.11031388341199999
ACH-001745,0.195699538855
ACH-001750,0.0894035087898
ACH-001765,0.18923839947700002
ACH-001956,0.0938839957634
ACH-001957,0.133785029758
